113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0233,國立成功大學,歷史學系,歷x1.50 國x1.25 地x1.25 數Bx1.00,45,238.00,253.05
0234,國立成功大學,台灣文學系,國x1.50 英x1.50 歷x1.00 數Bx1.00 地x1.00,23,262.00,-----
0235,國立成功大學,數學系,數甲x2.00 物x1.50 英x1.50 化x1.00 國x1.00,27,307.00,-----
0236,國立成功大學,物理學系,物x1.00 數甲x1.00 數Ax1.00 英x1.00 化x1.00,20,236.00,245.30
0237,國立成功大學,化學系,化x1.50 數甲x1.25 物x1.25 英x1.00 國x1.00,21,280.75,-----
0240,國立成功大學,地球科學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,24,215.00,-----
0241,國立成功大學,光電科學與工程學系,物x1.00 數甲x1.00 英x1.00 化x1.00 國x1.00,28,240.00,-----
0242,國立成功大學,機械工程學系,數甲x2.00 物x2.00 英x1.00,88,226.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0243,國立成功大學,機械工程學系(普渡雙聯組),數甲x1.00 物x1.00 英x1.00,4,150.00,-----
0244,國立成功大學,化學工程學系,數甲x1.25 化x1.25 物x1.25 英x1.00 國x1.00,103,269.25,-----
0245,國立成功大學,材料科學及工程學系,物x1.50 化x1.50 數甲x1.00,61,196.00,-----
0246,國立成功大學,資源工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,27,225.00,-----
0247,國立成功大學,土木工程學系,數Ax1.00 數甲x1.00 物x1.00 英x1.00 國x1.00,71,219.00,220.00
0250,國立成功大學,水利及海洋工程學系,數甲x1.75 物x1.50 英x1.25 國x1.00,19,239.00,-----
0251,國立成功大學,工程科學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,24,244.00,-----
0252,國立成功大學,系統及船舶機電工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,20,228.00,-----
0253,國立成功大學,航空太空工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00,27,188.00,194.40
0254,國立成功大學,環境工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,33,220.00,232.20
0255,國立成功大學,測量及空間資訊學系,數甲x2.00 物x2.00 英x2.00 國x1.00,22,299.00,-----
0256,國立成功大學,生物醫學工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,20,233.00,-----
0257,國立成功大學,工業與資訊管理學系,數Ax1.00 數甲x1.00 英x1.00 物x1.00 化x1.00,24,227.00,-----
0260,國立成功大學,交通管理科學系,數甲x1.25 英x1.25 國x1.00 物x1.00,22,195.00,-----
0261,國立成功大學,企業管理學系,英x2.00 數Bx2.00 國x1.00 公x1.00,29,287.00,-----
0262,國立成功大學,統計學系,數甲x1.50 英x1.50 國x1.00,33,184.50,-----
0263,國立成功大學,會計學系,英x2.00 國x1.25 公x1.00,26,215.00,-----
0264,國立成功大學,醫學系(自費),數甲x1.00 物x1.00 化x1.00 生x1.00 英x1.00,22,280.00,310.50
0265,國立成功大學,醫學系(公費),數甲x1.00 物x1.00 化x1.00 生x1.00 英x1.00,6,260.00,-----
0266,國立成功大學,牙醫學系,數甲x1.00 英x1.00 生x1.00 化x1.00 物x1.00,9,271.00,-----
0267,國立成功大學,醫學檢驗生物技術學系,英x1.25 化x1.25 生x1.25 數甲x1.00 國x1.00,18,276.75,-----
0270,國立成功大學,護理學系,生x1.50 英x1.50 化x1.00 國x1.00 數甲x1.00,21,266.50,-----
0271,國立成功大學,職能治療學系,英x1.00 生x1.00 數Ax1.00 國x1.00,17,202.00,207.90
0272,國立成功大學,物理治療學系,英x1.25 生x1.00 數甲x1.00 物x1.00 國x1.00,18,255.75,264.15
0273,國立成功大學,藥學系,化x1.25 生x1.00 國x1.00 英x1.00 數甲x1.00,15,278.25,281.20
